Sample_ID_IfH,Organism_Code,trimethoprim-sulfamethoxazole,ceftriaxone,gentamicin,ampicillin,ciprofloxacin,amoxicillin-clavulanic acid,colistin,doripenem,cefepime,meropenem,amikacin,tigecycline,ceftazidime,levofloxacin,Imipenem,piperacillin-tazobactam,cefazolin,tobramycin,cefuroxime,ertapenem,ticarcillin-clavulanic acid,aztreonam,cefpodoxime,ampicillin-sulbactam,moxifloxacin,nitrofurantoin,piperacillin,cefotaxime,sulfamethoxazole,temocillin,trimethoprim
562.140717,ECO,S,S,S,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5438,ECO,R,S,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.5423,ECO,S,S,S,S,R,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.26301,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.26317,ECO,S,S,S,S,R,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5431,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5681,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.26306,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5696,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140764,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140793,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140729,ECO,R,S,S,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,R,S,R,R,,,,,,,
562.140773,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140795,ECO,R,S,S,R,R,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,R,,,,,,,
562.140802,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140801,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140738,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5428,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140749,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5465,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140767,ECO,R,S,R,R,R,,S,,S,S,S,R,S,,,R,R,R,S,R,R,S,R,R,,,,,,,
562.5421,ECO,S,S,S,S,R,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140792,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140721,ECO,S,S,S,R,S,,S,,S,S,S,R,S,,,R,R,R,S,R,R,S,R,R,,,,,,,
562.5442,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140785,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140821,ECO,S,S,S,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,R,S,R,R,,,,,,,
562.140718,ECO,S,S,S,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140788,ECO,R,S,R,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.26318,ECO,R,S,R,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5459,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.5691,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140765,ECO,R,S,S,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,R,,,,,,,
562.5432,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5701,ECO,R,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140784,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.26307,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.26273,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140806,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140722,ECO,S,S,S,R,S,,S,,S,S,S,R,S,,,R,R,R,S,R,R,S,R,R,,,,,,,
562.26288,ECO,S,S,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140808,ECO,S,S,S,R,R,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,R,,,,,,,
562.5456,ECO,S,S,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140714,ECO,S,S,S,R,R,,S,,S,S,S,R,S,,,R,S,R,S,R,R,S,R,R,,,,,,,
562.26275,ECO,R,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5457,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140762,ECO,S,S,R,R,R,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,R,,,,,,,
562.5462,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140803,ECO,S,S,S,R,S,,S,,S,S,S,R,S,,,R,R,R,S,R,R,S,R,R,,,,,,,
562.140739,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5441,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
