Sample_ID_IfH,Organism_Code,tobramycin,nitrofurantoin,cefuroxime,ciprofloxacin,cefazolin,ceftazidime,ampicillin-sulbactam,ceftriaxone,levofloxacin,aztreonam,piperacillin-tazobactam,gentamicin,Smipenem,meropenem,amikacin,cefepime,trimethoprim-sulfamethoxazole,ampicillin,amoxicillin-clavulanic acid,ertapenem,cefotaxime,tigecycline,fosfomycin,norfloxacin,ticarcillin-clavulanic acid,trimethoprim,colistin
470.7684,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7987,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8022,PTX,S,,,R,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7988,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7414,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7519,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7932,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.8004,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.8033,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7977,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7572,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7891,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7721,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8027,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7489,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7715,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7945,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7588,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8102,PTX,R,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
