Sample_ID_IfH,Organism_Code,tobramycin,nitrofurantoin,cefoxitin,cefuroxime,ciprofloxacin,cefazolin,ceftazidime,ampicillin/sulbactam,ceftriaxone,levofloxacin,aztreonam,piperacillin/tazobactam,tetracycline,gentamicin,imipenem,meropenem,amikacin,cefepime,trimethoprim/sulfamethoxazole,ampicillin,amoxicillin/clavulanic acid,ertapenem,chloramphenicol,polymyxin B,cefotaxime,tigecycline,fosfomycin,cephalexin,norfloxacin,ticarcillin/clavulanic acid,trimethoprim,colistin
573.13095,EKP,8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,>8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13034,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,4,8,>8,>32,,>2/38,>16,,,,,,,,,,,,
573.14313,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,>8,4,32,>16,>2/38,>16,,,,,,,,,,,,
573.14125,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,4,<=1,<=1,>32,>16,>2/38,>16,,,,,,,,,,,,
573.13398,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,>8,8,>32,>16,>2/38,>16,,,,,,,,,,,,
573.13159,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,4,>64/4,>8,>8,<=1,<=1,16,<=1,>2/38,>16,,,,,,,,,,,,
573.14302,EKP,<=2,>64,>16,>16,<=0.5,>16,1,>16/8,<=2,<=1,<=2,>64/4,>8,<=2,<=1,<=1,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.13232,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,<=2,<=1,<=1,16,,2/38,>16,,,,,,,,,,,,
573.13878,EKP,>8,,8,>16,>2,>16,>16,>16/8,16,>4,>16,16/4,4,>8,<=1,<=1,16,4,>2/38,>16,,,,,,,,,,,,
573.13335,EKP,>8,64,<=4,>16,>2,>16,16,>16/8,>32,<=1,16,16/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14042,EKP,<=2,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,4,>2/38,>16,,,,,,,,,,,,
573.1433,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,4,4,>8,>32,>16,>2/38,>16,,,,,,,,,,,,
573.13414,EKP,>8,64,<=4,>16,>2,>16,>16,>16/8,>32,<=1,>16,64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13647,EKP,<=2,>64,8,>16,>2,>16,>16,16/8,32,>4,>16,4/4,4,<=2,<=1,<=1,<=8,4,>2/38,>16,,,,,,,,,,,,
573.13209,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,32/4,>8,<=2,<=1,<=1,<=8,>16,2/38,>16,,,,,,,,,,,,
573.1397,EKP,<=2,>64,8,>16,>2,>16,>16,>16/8,>32,>4,>16,8/4,4,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.1436,EKP,8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,>8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13098,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14024,EKP,<=2,>64,<=4,>16,>2,>16,>16,>16/8,>32,>4,>16,16/4,<=2,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13823,EKP,>8,,8,>16,>2,>16,>16,>16/8,>32,>4,>16,32/4,4,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14475,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,>8,>8,16,16,<=0.5/9,>16,,,,,,,,,,,,
573.13002,EKP,1,64,<=4,<=4,<=0.5,<=1,<=0.5,4/2,<=0.5,<=1,<=1,4/4,<=1,1,<=0.25,<=0.125,<=4,<=0.5,<=0.5/9.5,16,,,,,,,,,,,,
573.14072,EKP,8,>64,<=4,>16,>2,>16,16,>16/8,>32,>4,<=2,8/4,>8,>8,<=1,<=1,<=8,16,>2/38,>16,,,,,,,,,,,,
573.1396,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,4,>8,>8,32,>16,>2/38,>16,,,,,,,,,,,,
573.13754,EKP,4,>64,>16,>16,>2,4,2,>16/8,<=2,4,<=2,64/4,>8,4,<=1,<=1,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.13545,EKP,>8,>64,<=4,>16,>2,>16,>16,>16/8,>32,<=1,16,64/4,>8,>8,<=1,<=1,<=8,,>2/38,>16,,,,,,,,,,,,
573.13415,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,64/4,4,<=2,<=1,<=1,<=8,,>2/38,>16,,,,,,,,,,,,
573.13461,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,<=1,4,16,16,>2/38,>16,,,,,,,,,,,,
573.14096,EKP,<=2,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,4,2,<=8,4,>2/38,>16,,,,,,,,,,,,
573.13427,EKP,8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,>8,>8,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.12981,EKP,>8,,>16,,>2,>32,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=0.25,0.38,8,>16,>2/38,>16,,,,,,,,,,,,
573.1346,EKP,>8,,<=4,8,>2,>16,>16,16/8,16,>4,>16,<=2/4,4,<=2,<=1,<=1,<=8,<=1,<=0.5/9,>16,,,,,,,,,,,,
573.13967,EKP,<=2,,>16,>16,1,4,2,>16/8,<=2,<=1,<=2,32/4,>8,<=2,<=1,<=1,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.13924,EKP,<=2,,,>16,<=0.5,>16,4,>16/8,>32,<=1,16,4/4,<=2,<=2,<=1,<=1,<=8,>16,2/38,>16,,,,,,,,,,,,
573.12862,EKP,>8,,<=4,,>2,>32,>16,16/8,8,>4,>16,8/4,4,2,<=0.25,<=0.125,32,1,>2/38,>16,,,,,,,,,,,,
573.14044,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.1454,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,<=2,>8,>8,16,<=1,1/19,>16,,,,,,,,,,,,
573.14334,EKP,8,,8,>16,<=0.5,>16,>16,16/8,>32,<=1,>16,>64/4,4,4,<=1,<=1,<=8,>16,<=0.5/9,>16,,,,,,,,,,,,
573.13831,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,>8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14107,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,<=2,<=2,<=1,<=1,<=8,>16,2/38,>16,,,,,,,,,,,,
573.13444,EKP,>8,,16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,<=2,<=2,8,8,16,16,>2/38,>16,,,,,,,,,,,,
573.14503,EKP,8,>64,16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,<=2,>8,<=1,<=8,,>2/38,>16,,,,,,,,,,,,
573.13084,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,4,<=1,<=1,32,>16,>2/38,>16,,,,,,,,,,,,
573.13758,EKP,<=2,>64,<=4,>16,>2,>16,>16,>16/8,>32,>4,>16,16/4,4,<=2,<=1,<=1,<=8,>16,<=0.5/9,>16,,,,,,,,,,,,
573.13858,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13655,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,4,2,4,32,>16,>2/38,>16,,,,,,,,,,,,
573.14173,EKP,>8,,16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,<=1,<=1,32,<=1,>2/38,>16,,,,,,,,,,,,
573.13656,EKP,<=2,,>16,>16,>2,>16,16,>16/8,>32,2,>16,>64/4,8,<=2,<=1,<=1,<=8,<=1,<=0.5/9,>16,,,,,,,,,,,,
573.14303,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,>8,>8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14426,EKP,8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,>8,>8,>8,<=8,<=1,2/38,>16,,,,,,,,,,,,
573.13516,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,>8,>8,<=8,,>2/38,>16,,,,,,,,,,,,
573.14343,EKP,>8,,8,>16,>2,>16,>16,>16/8,>32,>4,>16,64/4,>8,>8,<=1,<=1,<=8,16,>2/38,>16,,,,,,,,,,,,
573.12922,EKP,1,64,<=4,<=4,<=0.5,<=1,<=0.5,4/2,<=0.5,<=1,<=1,4/4,<=1,1,<=0.25,<=0.125,<=4,<=0.5,<=0.5/9.5,16,,,,,,,,,,,,
573.13713,EKP,<=2,>64,8,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,<=1,<=1,<=8,<=1,<=0.5/9,>16,,,,,,,,,,,,
573.13378,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,>8,>8,32,>16,>2/38,>16,,,,,,,,,,,,
573.14286,EKP,<=2,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,4,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.13147,EKP,8,>64,<=4,>16,>2,>16,>16,>16/8,>32,>4,<=2,32/4,>8,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14373,EKP,>8,,8,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,<=2,>8,<=1,<=1,16,>16,>2/38,>16,,,,,,,,,,,,
573.1416,EKP,8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,32/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.1439,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,<=2,8,2,32,>16,>2/38,>16,,,,,,,,,,,,
573.13462,EKP,8,,>16,>16,>2,>16,>16,>16/8,>32,>4,16,>64/4,>8,>8,<=1,2,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.14219,EKP,>8,,<=4,>16,>2,>16,>16,>16/8,>32,<=1,>16,16/4,>8,>8,<=1,<=1,<=8,16,>2/38,>16,,,,,,,,,,,,
573.14199,EKP,8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,32/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13578,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,4,>8,>8,32,>16,2/38,>16,,,,,,,,,,,,
573.14119,EKP,8,,<=4,>16,>2,>16,>16,>16/8,>32,>4,<=2,16/4,>8,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13778,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,4,4,2,32,16,>2/38,>16,,,,,,,,,,,,
573.13181,EKP,>8,>64,8,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,16,>2/38,>16,,,,,,,,,,,,
573.13576,EKP,<=2,,>16,>16,<=0.5,>16,16,>16/8,<=2,<=1,<=2,>64/4,>8,<=2,<=1,<=1,<=8,8,<=0.5/9,>16,,,,,,,,,,,,
573.14257,EKP,>8,,<=4,>16,>2,>16,>16,>16/8,>32,>4,>16,64/4,>8,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.12872,EKP,1,64,<=4,<=4,<=0.5,<=1,<=0.5,8/4,<=0.5,<=1,<=1,4/4,>8,1,<=0.25,<=0.125,<=4,<=0.5,<=0.5/9.5,16,,,,,,,,,,,,
573.14463,EKP,<=2,,8,>16,<=0.5,>16,8,>16/8,>32,<=1,4,>64/4,8,<=2,<=1,<=1,<=8,4,<=0.5/9,>16,,,,,,,,,,,,
573.13215,EKP,8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,>8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13785,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13125,EKP,<=2,>64,8,>16,>2,>16,>16,>16/8,>32,>4,>16,16/4,4,<=2,<=1,<=1,<=8,<=1,<=0.5/9,>16,,,,,,,,,,,,
573.12997,EKP,1,32,<=4,<=4,<=0.5,2,<=0.5,8/4,<=0.5,<=1,<=1,8/4,2,1,0.5,<=0.125,<=4,<=0.5,<=0.5/9.5,>16,,,,,,,,,,,,
573.13143,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,>8,>8,>32,>16,>2/38,>16,,,,,,,,,,,,
573.13417,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,>8,>8,2,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13854,EKP,<=2,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,<=2,>8,>8,<=8,,>2/38,>16,,,,,,,,,,,,
573.1356,EKP,>8,>64,8,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14001,EKP,<=2,>64,>16,>16,>2,>16,16,>16/8,>32,>4,>16,>64/4,<=2,<=2,>8,>8,<=8,<=1,<=0.5/9,>16,,,,,,,,,,,,
573.13664,EKP,<=2,,>16,>16,<=0.5,>16,8,>16/8,<=2,<=1,<=2,>64/4,>8,<=2,<=1,<=1,<=8,<=1,<=0.5/9,>16,,,,,,,,,,,,
573.13772,EKP,8,,<=4,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13896,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,,>64/4,>8,>8,<=1,2,32,4,>2/38,>16,,,,,,,,,,,,
573.13467,EKP,8,64,8,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,>8,<=1,<=1,<=8,,<=0.5/9,>16,,,,,,,,,,,,
573.14284,EKP,8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,>8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14109,EKP,<=2,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,>8,>8,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.13436,EKP,8,>64,<=4,>16,>2,>16,>16,>16/8,>32,4,>16,64/4,<=2,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13612,EKP,>8,>64,16,>16,>2,>16,>16,16/8,32,>4,>16,16/4,8,<=2,<=1,<=1,16,4,>2/38,>16,,,,,,,,,,,,
573.13602,EKP,8,,16,>16,>2,>16,>16,>16/8,>32,>4,>16,16/4,>8,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14396,EKP,8,>64,16,>16,>2,>16,>16,>16/8,16,>4,>16,32/4,>8,<=2,<=1,<=1,<=8,2,1/19,>16,,,,,,,,,,,,
573.12873,EKP,1,64,<=4,<=4,<=0.5,2,<=0.5,8/4,<=0.5,<=1,<=1,4/4,<=1,1,<=0.25,<=0.125,<=4,<=0.5,<=0.5/9.5,>16,,,,,,,,,,,,
573.12858,EKP,>8,>64,<=4,,>2,>32,16,>16/8,>32,<=1,16,>64/4,>8,>8,<=0.25,<=0.125,<=4,>16,>2/38,>16,,,,,,,,,,,,
573.13705,EKP,<=2,>64,<=4,>16,1,>16,>16,>16/8,>32,<=1,4,>64/4,<=2,<=2,<=1,<=1,<=8,16,<=0.5/9,>16,,,,,,,,,,,,
573.1369,EKP,>8,>64,8,>16,>2,>16,>16,16/8,32,>4,>16,>64/4,4,4,<=1,<=1,32,4,>2/38,>16,,,,,,,,,,,,
573.14213,EKP,>8,,8,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,<=2,<=2,<=1,<=1,32,<=1,>2/38,>16,,,,,,,,,,,,
573.13178,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,>8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13454,EKP,<=2,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,8/4,>8,<=2,<=1,<=1,<=8,<=1,<=0.5/9,>16,,,,,,,,,,,,
573.13051,EKP,>8,>64,16,>16,>2,>16,>16,16/8,32,>4,>16,8/4,4,4,<=1,<=1,>32,4,>2/38,>16,,,,,,,,,,,,
573.13972,EKP,>8,>64,8,>16,>2,>16,>16,>16/8,>32,>4,>16,64/4,4,>8,<=1,<=1,16,>16,>2/38,>16,,,,,,,,,,,,
573.13386,EKP,<=2,,8,>16,>2,>16,16,>16/8,>32,>4,>16,8/4,>8,<=2,<=1,<=1,<=8,16,<=0.5/9,>16,,,,,,,,,,,,
573.1447,EKP,4,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,4,>2/38,>16,,,,,,,,,,,,
573.13446,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.14309,EKP,<=2,>64,>16,>16,<=0.5,16,1,>16/8,4,<=1,<=2,32/4,>8,<=2,<=1,<=1,<=8,<=1,<=0.5/9,>16,,,,,,,,,,,,
573.13658,EKP,<=2,,>16,>16,>2,>16,>16,>16/8,>32,>4,<=2,>64/4,>8,8,>8,>8,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.13131,EKP,>8,>64,8,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,>8,<=1,<=1,16,16,>2/38,>16,,,,,,,,,,,,
573.13108,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,4,>8,>8,32,<=1,>2/38,>16,,,,,,,,,,,,
573.13207,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,8,8,8,>32,>16,>2/38,>16,,,,,,,,,,,,
573.14272,EKP,8,>64,>16,>16,>2,4,1,16/8,<=2,>4,<=2,16/4,>8,>8,<=1,<=1,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.13872,EKP,8,,>16,>16,>2,>16,16,>16/8,>32,>4,>16,>64/4,>8,<=2,>8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13606,EKP,<=2,>64,>16,>16,>2,>16,16,16/8,>32,>4,>16,16/4,>8,<=2,<=1,<=1,<=8,,<=0.5/9,>16,,,,,,,,,,,,
573.13268,EKP,<=2,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,>8,<=1,<=1,<=8,<=1,2/38,>16,,,,,,,,,,,,
573.13774,EKP,8,>64,8,>16,>2,>16,>16,>16/8,>32,>4,>16,16/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.12886,EKP,1,64,<=4,<=4,<=0.5,<=1,<=0.5,8/4,<=0.5,<=1,<=1,4/4,2,1,<=0.25,<=0.125,<=4,<=0.5,<=0.5/9.5,16,,,,,,,,,,,,
573.14351,EKP,<=2,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,64/4,4,<=2,<=1,<=1,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.13703,EKP,>8,64,<=4,>16,2,>16,16,>16/8,>32,<=1,16,8/4,>8,<=2,<=1,<=1,<=8,8,>2/38,>16,,,,,,,,,,,,
573.12949,EKP,>8,>64,<=4,,>2,>32,>16,>16/8,>32,<=1,>16,16/4,>8,>8,<=0.25,<=0.125,<=4,>16,>2/38,>16,,,,,,,,,,,,
573.13573,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,4,4,>8,32,16,>2/38,>16,,,,,,,,,,,,
573.13177,EKP,8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,<=2,<=1,2,16,>16,>2/38,>16,,,,,,,,,,,,
573.14204,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,>8,>8,>8,32,,>2/38,>16,,,,,,,,,,,,
573.1398,EKP,<=2,>64,<=4,<=4,<=0.5,16,2,>16/8,<=2,<=1,<=2,>64/4,<=2,<=2,<=1,<=1,<=8,<=1,<=0.5/9,>16,,,,,,,,,,,,
573.14197,EKP,<=2,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,>8,>8,<=8,,>2/38,>16,,,,,,,,,,,,
573.12899,EKP,>8,>64,<=4,,2,>32,>16,>16/8,>32,<=1,>16,16/4,>8,>8,0.5,<=0.125,<=4,>16,>2/38,>16,,,,,,,,,,,,
573.12932,EKP,8,>64,8,,>2,>32,>16,>16/8,>32,>4,8,>64/4,4,>8,<=0.25,<=0.125,<=4,,>2/38,>16,,,,,,,,,,,,
573.14104,EKP,<=2,>64,<=4,>16,2,>16,8,>16/8,>32,<=1,>16,>64/4,>8,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14278,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14282,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,<=2,<=1,<=1,32,<=1,>2/38,>16,,,,,,,,,,,,
573.14078,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14102,EKP,8,>64,16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13019,EKP,1,>64,>16,,>2,>32,>16,>16/8,>32,2,>16,>64/4,2,1,>8,>8,<=4,>16,<=0.5/9.5,>16,,,,,,,,,,,,
