Sample_ID_IfH,Organism_Code,trimethoprim-sulfamethoxazole,ceftriaxone,gentamicin,ampicillin,ciprofloxacin,amoxicillin-clavulanic acid,colistin,doripenem,cefepime,meropenem,amikacin,tigecycline,ceftazidime,levofloxacin,Imipenem,piperacillin-tazobactam,cefazolin,tobramycin,cefuroxime,ertapenem,ticarcillin-clavulanic acid,aztreonam,cefpodoxime,ampicillin-sulbactam,moxifloxacin,nitrofurantoin,piperacillin,cefotaxime,sulfamethoxazole,temocillin,trimethoprim
562.5437,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140732,ECO,R,S,S,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140719,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140725,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140774,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140776,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5686,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5467,ECO,S,S,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.5448,ECO,R,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140752,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.26315,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5453,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.26316,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.26277,ECO,S,S,S,R,R,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.26298,ECO,R,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140761,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140711,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.26311,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.26281,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.5703,ECO,S,R,S,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140728,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5419,ECO,R,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.26295,ECO,R,S,S,R,R,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.26285,ECO,R,S,S,S,R,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5466,ECO,S,S,S,R,R,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140723,ECO,R,S,S,R,S,,S,,S,S,S,R,S,,,R,R,R,S,R,R,S,R,R,,,,,,,
562.140724,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.26283,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140805,ECO,S,S,S,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5461,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5454,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140756,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140809,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.26276,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5692,ECO,S,S,R,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.26289,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140747,ECO,R,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5436,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.26287,ECO,R,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5449,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.26308,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140783,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5433,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.26309,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140777,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.26294,ECO,S,S,R,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140799,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5443,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140744,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.109862,ECO,R,R,S,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140742,ECO,R,S,S,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,R,S,R,R,,,,,,,
