Sample_ID_IfH,Organism_Code,trimethoprim-sulfamethoxazole,ceftriaxone,gentamicin,ampicillin,ciprofloxacin,amoxicillin-clavulanic acid,colistin,doripenem,cefepime,meropenem,amikacin,tigecycline,ceftazidime,levofloxacin,Imipenem,piperacillin-tazobactam,cefazolin,tobramycin,cefuroxime,ertapenem,ticarcillin-clavulanic acid,aztreonam,cefpodoxime,ampicillin-sulbactam,moxifloxacin,nitrofurantoin,piperacillin,cefotaxime,sulfamethoxazole,temocillin,trimethoprim
562.26284,ECO,R,S,S,R,R,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.26279,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140822,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,R,S,R,S,,,,,,,
562.5699,ECO,R,S,S,S,R,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.26304,ECO,S,R,R,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.5455,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140819,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.109861,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140786,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.26286,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140716,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5451,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.111036,ECO,R,R,R,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.5671,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.26314,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140766,ECO,R,S,S,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,R,S,R,R,,,,,,,
562.140811,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140814,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
